;;;;;;;;;;;;;;;;;;ACR - observers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CampfireFHD5_0_75;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;2;2;2;3;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;3;2;2;3;2;2;2;3;2;2;3;3;3;2;2;2;2;2;1;1;2;2;2;;0.959;32.35;2.067;0.4825;23.34%;15%;;60;9
CampfireFHD5_1;2;2;2;2;1;1;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;2;2;1;2;1;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;1;1;1;1;1;;0.922;31.63;1.683;0.4691;27.87%;0%;;60;0
Campfire HD 10 Mbit/H264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CampfireHD10_0_1;4;4;4;4;4;4;4;4;4;3;4;4;4;3;3;4;4;5;5;3;4;4;4;5;4;4;4;5;4;5;5;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;5;4;5;5;4;4;3;3;4;4;5;5;3;4;;0.987;98.2;4.083;0.5612;13.74%;100%;;60;60
CampfireHD10_0_2          ;5;4;4;4;5;5;5;3;5;3;3;3;3;3;3;3;3;3;3;4;3;4;3;3;4;3;3;3;3;3;5;4;4;4;5;5;5;3;5;3;3;4;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;;0.97306;83.04;3.533;0.7695;21.78%;100%;;60;60
CampfireHD10_0_3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;2;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;2;3;3;3;4;3;3;3;3;3;3;3;3;3;3;;0.92717;75.912;3.033;0.3171;10.45%;97%;;60;58
CampfireHD10_0_5         ;4;3;3;3;3;3;4;3;2;3;3;2;2;3;3;4;2;2;3;3;3;3;3;3;3;3;3;3;3;4;3;4;3;3;3;3;3;3;3;2;3;3;4;4;3;3;3;3;3;3;4;3;2;2;3;3;3;2;2;3;;0.90666;59.73;2.967;0.5513;18.58%;83%;;60;50
CampfireHD10_0_75  ;2;2;3;2;1;2;2;3;2;2;3;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;3;3;3;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;3;2;3;3;2;2;3;2;2;2;2;1;;0.8874;58.54;2.217;0.4903;22.12%;25%;;60;15
CampfireHD10_1;2;1;1;3;1;1;1;1;2;2;1;1;1;2;1;2;3;1;1;2;2;1;1;1;2;1;1;2;1;2;1;2;1;2;2;1;1;1;2;1;1;2;2;1;2;2;1;2;2;1;2;2;2;1;2;1;2;2;2;1;;0.88612;25.69;1.517;0.5672;37.40%;3%;;60;2
Campfire HD 15 Mbit/H264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CampfireHD15_0_1;5;5;5;4;4;4;5;3;4;4;4;4;4;4;4;5;4;4;5;5;4;5;5;4;4;4;4;3;4;4;5;5;5;4;4;4;5;3;4;4;4;5;5;4;4;4;4;3;4;4;4;4;4;4;4;5;4;4;5;5;;0.94442;94.67;4.233;0.5635;13.31%;100%;;60;60
CampfireHD15_0_2;4;3;3;4;4;4;5;4;5;3;3;3;4;3;3;4;3;3;3;3;3;4;4;4;4;4;4;3;3;4;4;3;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;3;3;4;3;3;4;3;3;4;4;3;3;3;;0.91292;89.31;3.6;0.5584;15.51%;100%;;60;60
CampfireHD15_0_3;4;4;3;3;3;2;3;4;2;3;3;2;2;2;2;3;3;3;3;4;3;4;3;2;3;3;3;2;3;3;4;4;3;3;3;2;3;4;2;3;3;4;3;2;3;3;3;2;3;3;3;2;2;2;2;3;3;3;3;4;;0.90442;73.24;2.9;0.6561;22.63%;73%;;60;44
CampfireHD15_0_5;3;2;3;3;2;3;3;3;3;2;3;3;3;3;3;3;2;2;2;2;2;2;2;3;3;3;3;3;2;2;3;3;3;3;2;3;3;3;3;2;2;2;3;3;3;3;3;3;2;2;3;3;3;3;3;3;2;2;2;3;;0.86943;66.37;2.65;0.481;18.15%;65%;;60;39
CampfireHD15_0_75;3;2;2;3;3;3;3;2;3;2;2;2;3;3;3;3;3;2;2;2;2;2;3;3;2;3;2;2;2;2;3;2;2;3;3;2;3;2;3;2;2;2;3;3;2;3;2;3;2;2;2;2;3;3;3;2;3;2;2;3;;0.81258;61.23;2.467;0.5031;20.40%;47%;;60;28
CampfireHD15_1;3;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;1;2;2;2;2;3;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;;0.76829;48.22;2.067;0.3117;15.08%;8%;;60;5
Campfire HD 5 Mbit/H264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CampfireHD5_0_1;4;3;4;4;4;4;4;5;5;5;5;4;5;3;4;3;3;4;4;4;4;4;4;5;4;4;4;4;4;3;3;4;4;5;4;4;4;4;4;3;4;3;4;4;4;4;4;5;5;5;5;4;5;3;4;3;3;4;4;4;;0.997;98.32;4.017;0.6241;15.54%;100%;;60;60
CampfireHD5_0_2;5;4;5;4;4;4;3;4;3;4;3;4;3;3;3;3;4;4;3;2;4;4;4;4;3;4;4;4;4;3;3;4;4;4;4;4;4;3;4;3;3;4;4;4;3;3;3;4;3;4;4;4;4;4;4;4;4;4;4;4;;0.995;97.44;3.7;0.5615;15.18%;98%;;60;59
CampfireHD5_0_3;3;3;3;4;4;4;3;3;3;3;3;3;4;3;4;3;3;4;4;4;4;4;4;3;3;4;4;4;4;3;3;4;3;4;3;3;4;4;4;4;3;3;4;3;4;3;3;4;4;4;3;3;3;4;4;4;3;3;4;3;;0.99124;95.67;3.5;0.5042;14.41%;100%;;60;60
CampfireHD5_0_5       ;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;4;3;3;4;3;3;4;3;3;3;3;3;3;3;;0.98466;94.03;3.15;0.3601;11.43%;100%;;60;60
