;;;;;;;;;;;;;;;;;;ACR - observers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CampfireXHD10_0_3    ;4;3;3;2;2;2;3;3;3;3;3;3;2;3;2;2;3;2;3;3;2;3;3;2;2;3;3;3;3;3;2;3;3;2;2;3;3;3;3;3;3;3;3;2;3;2;3;3;3;3;3;3;2;3;2;2;3;2;3;3;;0.91834;58.89;2.7;0.4975;18.42%;68%;;60;41
CampfireXHD10_0_5;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;1;2;1;2;2;2;2;1;3;2;2;2;2;2;1;2;2;1;3;2;2;2;2;2;1;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;1;2;1;2;2;;0.87363;53.67;1.933;0.4459;23.07%;7%;;60;4
CampfireXHD10_0_75;2;2;1;3;2;2;3;3;1;3;1;1;2;1;1;2;2;1;2;1;1;2;2;2;1;2;1;1;2;2;1;2;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;1;2;2;2;1;2;2;;0.85253;51.5;1.733;0.5783;33.37%;7%;;60;4
CampfireXHD10_1;2;1;1;2;2;2;3;2;2;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;2;2;1;2;1;2;1;1;2;2;2;2;2;2;2;1;1;1;2;1;1;1;1;1;1;;0.7718;24.26;1.417;0.5302;37.42%;2%;;60;1
Campfire HD 15 Mbit/H265 (HEVC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CampfireXHD15_0_1  ;3;3;2;3;2;1;3;3;2;2;2;2;3;3;3;3;3;2;2;3;3;2;3;2;2;3;2;3;2;3;3;3;2;2;3;2;3;2;3;3;3;3;2;3;2;2;3;3;2;2;2;2;3;3;3;3;3;2;2;3;;0.92134;88.83;2.533;0.5357;21.15%;55%;;60;33
CampfireXHD15_0_2;3;3;2;1;2;2;3;3;2;2;2;3;3;3;3;3;3;1;3;3;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;3;3;3;2;2;3;2;3;3;2;2;2;3;3;3;3;3;3;2;3;3;;0.91934;80.03;2.417;0.5612;23.22%;45%;;60;27
CampfireXHD15_0_3;1;3;3;2;1;2;2;2;2;2;2;1;2;2;3;3;2;2;3;3;2;2;1;2;3;1;2;2;1;2;2;1;2;3;2;2;2;2;2;2;1;3;3;2;1;2;2;2;2;2;2;1;2;2;3;3;2;2;3;3;;0.90156;75.86;2.067;0.6342;30.69%;23%;;60;14
CampfireXHD15_0_5;3;1;1;3;2;2;1;1;2;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;1;1;2;2;2;1;1;2;1;1;1;1;1;1;1;1;1;2;1;;0.76035;69.47;1.45;0.5652;38.98%;3%;;60;2
CampfireXHD15_0_75;2;2;1;1;1;1;2;1;1;2;1;2;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;2;1;1;2;1;2;2;2;1;2;1;1;1;1;;0.75393;58.58;1.267;0.4459;35.21%;0%;;60;0
CampfireXHD15_1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;1;2;1;1;1;2;2;1;2;1;1;1;1;1;2;2;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;;0.73362;46.53;1.233;0.4265;34.58%;0%;;60;0
Campfire HD 5 Mbit/H265 (HEVC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CampfireXHD5_0_1;3;3;3;3;4;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;;0.98671;95.89;3.5;0.2867;9.40%;98%;;60;59
CampfireXHD5_0_2;4;4;2;3;3;3;3;3;3;3;4;3;3;4;3;4;3;4;3;3;4;2;2;2;3;3;3;3;2;3;4;2;2;2;3;3;3;3;3;3;4;4;3;3;3;3;3;3;3;3;4;3;3;4;3;4;3;4;3;3;;0.97795;95.17;3.1;0.6023;19.43%;87%;;60;52
CampfireXHD5_0_3;2;3;1;2;1;1;3;2;2;3;2;3;3;3;3;3;3;2;2;3;3;3;2;2;3;2;2;2;3;3;3;3;2;2;3;2;2;2;3;3;2;3;1;2;2;2;3;2;2;3;2;3;3;3;3;3;3;2;2;3;;0.86427;44;2.433;0.6207;25.51%;50%;;60;30
CampfireXHD5_0_5;3;2;2;1;1;1;2;2;3;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;1;1;3;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2;;0.889;21.36;1.8;0.5142;28.57%;5%;;60;3
CampfireXHD5_0_75;2;2;1;2;2;2;1;2;1;2;1;1;1;1;1;1;2;1;1;2;1;2;2;1;1;2;1;1;2;2;1;2;2;1;1;2;1;1;2;2;2;2;1;2;2;2;1;2;1;2;1;1;1;1;1;1;2;1;1;2;;0.83725;21.9;1.467;0.5031;34.30%;0%;;60;0
CampfireXHD5_1;2;2;2;1;1;1;2;2;2;1;1;1;1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;1;1;1;2;2;2;1;1;1;1;1;2;1;2;1;1;2;;0.80873;19.6;1.333;0.4754;35.65%;0%;;60;0
Campfire UHD 10 Mbit/H265 (HEVC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CampfireXUHD10_0_1;4;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;4;3;3;3;3;4;3;3;3;3;3;4;3;4;3;3;4;4;3;4;4;3;3;3;3;;0.98425;95.51;3.2;0.4034;12.61%;100%;;60;60
CampfireXUHD10_0_2;3;3;3;3;3;3;4;3;4;3;3;4;4;3;4;3;2;3;3;3;3;2;2;3;3;3;3;3;2;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;;0.98106;95.68;3;0.451;15.03%;90%;;60;54
CampfireXUHD10_0_3;2;3;3;3;3;3;3;3;3;3;3;3;2;3;3;2;1;2;3;2;2;3;2;2;2;2;2;3;3;3;2;2;2;2;2;2;2;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;2;3;3;2;2;2;3;3;;0.91927;62.12;2.583;0.5302;20.52%;60%;;60;36
CampfireXUHD10_0_5;1;2;1;1;1;1;2;2;1;2;2;2;2;3;3;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;0.86211;58.88;1.833;0.4572;24.94%;3%;;60;2
CampfireXUHD10_0_75;2;3;1;2;2;1;3;1;3;2;2;1;2;1;1;3;1;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;1;2;2;2;1;2;1;1;2;1;1;1;1;;0.85503;58.47;1.7;0.5909;34.76%;7%;;60;4
CampfireXUHD10_1;2;2;2;1;2;1;2;1;1;2;1;2;2;2;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;2;1;1;2;1;2;2;2;1;2;1;1;2;1;;0.83583;57.68;1.4;0.494;35.29%;0%;;60;0
Campfire UHD 15 Mbit/H265 (HEVC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CampfireXUHD15_0_1;3;3;3;4;4;3;3;3;3;3;3;3;4;3;3;3;3;2;2;3;3;3;3;3;2;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;;0.9792;94.23;2.967;0.3667;12.36%;92%;;60;55
CampfireXUHD15_0_2;3;2;2;2;2;2;3;3;3;3;2;2;2;3;2;3;2;3;3;2;3;3;2;3;3;2;3;3;2;3;2;2;2;3;3;2;3;3;2;3;3;2;2;2;2;2;3;3;3;3;3;2;2;3;2;3;3;3;3;2;;0.9619;93.44;2.533;0.5031;19.86%;53%;;60;32
CampfireXUHD15_0_3;2;3;2;2;2;2;3;3;3;3;2;3;2;2;2;3;2;2;3;2;2;2;2;3;3;3;3;2;2;2;2;2;2;3;3;3;3;2;3;2;2;3;2;2;2;2;3;3;3;3;2;3;2;2;2;3;2;2;3;2;;0.95668;89.27;2.417;0.4972;20.57%;42%;;60;25
CampfireXUHD15_0_5;3;2;3;3;3;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;3;2;2;3;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;0.89845;82.91;2.1;0.3992;19.01%;13%;;60;8
CampfireXUHD15_0_75;2;2;1;1;2;1;2;2;1;2;1;2;2;2;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;2;2;2;1;1;2;1;2;2;1;2;1;2;2;2;1;2;1;1;1;1;;0.82904;70.27;1.4;0.494;35.29%;0%;;60;0
CampfireXUHD15_1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;;0.76388;57.15;1.067;0.2515;23.58%;0%;;60;0
Campfire UHD 5 Mbit/H265 (HEVC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CampfireXUHD5_0_1;3;3;4;4;5;4;4;3;3;4;3;3;4;3;5;3;3;3;4;4;3;4;4;3;4;4;3;4;4;4;3;4;4;3;4;4;3;4;4;4;3;3;4;4;5;4;4;3;3;4;3;3;4;3;5;3;3;3;4;4;;0.99147;98.39;3.633;0.6097;16.78%;100%;;60;60
CampfireXUHD5_0_2;3;3;3;3;3;3;3;2;3;3;2;3;3;3;3;3;3;3;3;3;2;2;2;3;3;2;2;2;2;3;2;2;2;2;3;2;2;2;2;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;;0.96611;91.16;2.7;0.4621;17.12%;70%;;60;42
CampfireXUHD5_0_3;3;3;2;2;2;1;2;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;3;3;2;2;3;3;3;3;3;3;3;3;3;;0.96294;91.75;2.517;0.5365;21.32%;53%;;60;32
CampfireXUHD5_0_5;3;2;1;3;2;2;3;2;3;2;1;2;3;2;2;2;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;2;2;3;3;2;3;3;2;2;2;2;2;3;2;2;2;2;2;3;2;2;2;2;2;2;2;;0.94174;87.97;2.017;0.5964;29.57%;18%;;60;11
CampfireXUHD5_0_75      ;2;3;3;2;2;1;1;3;3;2;2;2;1;2;2;2;1;2;1;1;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;;0.93215;85.88;1.917;0.4972;25.94%;8%;;60;5
CampfireXUHD5_1;2;2;1;1;1;1;1;1;2;2;2;2;1;1;2;1;2;2;2;2;1;1;1;2;2;2;1;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;1;1;1;1;1;1;2;2;2;2;1;1;2;1;2;2;2;2;;0.85315;62.42;1.467;0.5031;34.30%;0%;;60;0
Construction FHD 10 Mbit/H264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ConstructionFHD10_0_1;3;4;4;4;3;4;3;3;3;3;3;3;3;3;3;4;3;3;3;3;4;3;4;5;3;4;4;3;3;3;4;4;3;3;4;4;3;3;3;3;3;3;3;3;4;4;3;3;4;3;4;3;4;4;4;4;3;3;4;3;;0.98987;92.63;3.4;0.5272;15.51%;100%;;60;60
ConstructionFHD10_0_2;3;3;3;4;3;3;3;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;4;3;3;3;3;3;4;3;3;3;3;3;3;4;3;3;3;3;4;3;3;3;3;4;3;3;3;3;3;3;3;4;3;;0.98192;90.67;3.167;0.3758;11.87%;100%;;60;60
ConstructionFHD10_0_3;2;3;3;2;3;3;3;2;2;2;2;2;2;2;2;3;3;2;2;3;3;3;2;3;2;2;2;2;3;2;3;3;3;2;2;2;2;3;3;3;3;3;3;3;3;2;2;2;2;2;3;3;3;3;3;3;2;2;3;2;;0.95061;86.5;2.5;0.5042;20.17%;50%;;60;30
ConstructionFHD10_0_5   ;2;3;3;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;3;2;2;1;2;2;2;2;2;2;2;2;2;2;3;2;;0.89355;74.45;2.117;0.3724;17.59%;13%;;60;8
ConstructionFHD10_0_75;2;1;2;2;2;1;2;2;2;2;1;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;;0.85208;61.37;1.767;0.4265;24.14%;0%;;60;0
ConstructionFHD10_1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;1;2;1;1;1;1;1;1;;0.79548;60.48;1.133;0.3428;30.25%;0%;;60;0
Construction FHD 15 Mbit/H264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ConstructionFHD15_0_1;2;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;;0.96346;83;3;0.3682;12.27%;93%;;60;56
ConstructionFHD15_0_2;2;2;2;3;3;3;3;3;2;2;2;2;1;2;2;3;3;1;2;2;2;2;2;2;2;2;3;2;2;2;2;3;3;3;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;1;2;2;3;2;2;2;;0.89227;81.97;2.2;0.5142;23.37%;25%;;60;15
ConstructionFHD15_0_3;3;3;3;2;2;2;3;3;3;2;2;2;2;3;3;2;2;2;2;2;3;2;3;2;2;2;2;2;3;3;3;2;2;2;3;3;3;2;2;2;2;3;2;2;3;3;3;2;2;2;2;3;3;2;2;2;2;2;2;3;;0.86285;80.75;2.383;0.4903;20.57%;38%;;60;23
ConstructionFHD15_0_5;1;2;1;1;2;1;1;1;1;2;2;2;2;2;2;1;1;1;1;1;1;2;1;1;2;2;2;2;1;2;1;2;1;1;2;1;1;2;2;2;2;2;1;1;2;1;2;1;1;1;1;2;1;1;2;2;2;2;1;2;;0.84357;70.79;1.483;0.5039;33.97%;0%;;60;0
ConstructionFHD15_0_75;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;1;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;2;2;1;1;2;2;2;1;2;2;2;1;1;1;2;1;2;1;2;1;2;1;1;2;;0.78489;56.36;1.733;0.4825;27.83%;2%;;60;1
ConstructionFHD15_1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;;0.72026;29.16;1.117;0.3237;28.99%;0%;;60;0
Construction FHD 5 Mbit/H264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ConstructionFHD5_0_1;4;4;3;3;3;4;4;3;4;4;3;3;3;4;4;3;3;4;4;4;3;3;4;4;3;3;3;3;3;3;3;3;3;4;3;4;3;3;3;3;4;3;3;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;3;4;;0.97823;80;3.317;;;100%;;60;60
ConstructionFHD5_0_2;3;4;3;3;3;4;4;3;3;3;2;3;3;3;3;3;4;4;3;3;3;2;3;3;2;3;3;3;3;2;3;3;3;4;3;4;4;3;3;3;2;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;;0.97394;79.71;3.033;0.486;16.02%;90%;;60;54
ConstructionFHD5_0_3;3;4;4;4;4;3;3;3;3;2;2;2;3;2;3;3;3;2;3;2;3;2;3;3;2;2;3;3;3;2;3;3;3;3;2;3;3;3;2;2;3;3;2;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;;0.95164;78.95;2.817;0.5365;19.05%;75%;;60;45
ConstructionFHD5_0_5;3;2;2;2;2;2;3;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;;0.91166;68.51;2.083;0.334;16.03%;10%;;60;6
ConstructionFHD5_0_75;2;2;2;1;2;3;1;2;2;2;1;2;1;2;2;1;1;2;3;1;2;2;1;2;2;2;1;2;2;2;1;1;2;2;2;2;1;1;2;1;1;2;1;1;2;2;1;1;2;2;1;2;1;1;2;1;1;2;2;2;;0.90655;55.39;1.633;0.5513;33.75%;3%;;60;2
ConstructionFHD5_1;1;1;1;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;1;2;2;2;2;2;2;1;1;1;1;2;1;1;1;1;2;2;2;1;1;1;2;1;1;2;1;1;2;2;2;2;1;1;1;1;2;1;1;1;1;2;;0.89197;29.8;1.35;0.481;35.63%;0%;;60;0
Construction HD 10 Mbit/H264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ConstructionHD10_0_1;4;4;3;4;4;4;4;3;4;4;4;4;4;4;4;5;4;3;4;4;4;4;3;4;5;4;3;3;3;3;4;4;3;4;5;4;3;3;3;3;4;4;3;4;4;4;4;3;4;4;4;4;4;4;4;5;4;3;4;4;;0.9865;94.46;3.8;0.5462;14.37%;100%;;60;60
ConstructionHD10_0_2;4;3;4;3;5;4;4;3;5;3;4;5;4;3;3;3;3;3;3;3;4;4;4;3;3;3;3;3;4;3;4;4;4;3;3;3;3;3;4;3;4;3;4;3;5;4;4;3;5;3;4;5;4;3;3;3;3;4;4;3;;0.97284;91.93;3.567;0.6731;18.87%;100%;;60;60
ConstructionHD10_0_3;4;3;3;3;3;3;3;3;3;3;3;3;3;4;3;4;4;4;3;4;3;3;3;3;4;4;3;3;3;3;3;3;3;3;4;4;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3;3;3;;0.96181;90.04;3.217;0.4155;12.92%;100%;;60;60
ConstructionHD10_0_5;3;4;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;2;3;2;2;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;4;4;3;3;3;3;3;3;4;3;4;3;4;;0.93882;84.26;3.1;0.4396;14.18%;95%;;60;57
ConstructionHD10_0_75;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;2;2;3;2;4;3;3;3;2;3;2;2;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;2;3;3;2;;0.90082;75.97;2.85;0.4044;14.19%;83%;;60;50
ConstructionHD10_1;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;2;3;3;3;3;3;3;2;2;2;2;3;3;3;3;3;3;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;2;3;3;3;;0.89291;74.3;2.767;0.4265;15.42%;77%;;60;46
Construction HD 15 Mbit/H264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ConstructionHD15_0_1;4;4;4;4;4;4;4;4;4;3;3;5;4;3;3;3;3;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;3;3;3;3;4;4;3;;0.9779;91.4;3.783;0.4544;12.01%;100%;;60;60
ConstructionHD15_0_2;4;3;4;3;3;4;4;3;4;4;4;3;3;3;3;4;3;4;3;3;4;3;4;4;4;4;4;3;3;3;3;3;4;4;4;3;3;3;4;3;4;4;4;3;3;3;4;3;4;4;4;3;3;3;3;4;3;3;3;3;;0.9769;91.34;3.45;0.5017;14.54%;100%;;60;60
ConstructionHD15_0_3;4;4;4;3;3;3;4;3;4;3;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;4;4;3;3;3;3;3;3;4;3;4;4;3;3;4;3;4;4;3;3;3;3;3;3;3;3;3;3;;0.96151;85.73;3.267;0.4459;13.65%;100%;;60;60
ConstructionHD15_0_5;2;3;2;3;2;3;3;3;3;2;3;3;2;3;3;3;2;3;3;3;3;2;3;3;2;3;2;2;2;3;3;2;3;3;2;3;2;2;2;3;2;3;2;3;2;3;3;3;3;2;2;3;2;3;3;3;2;3;3;3;;0.92171;76.86;2.617;0.4903;18.74%;62%;;60;37
ConstructionHD15_0_75;3;3;2;2;2;3;3;2;2;3;2;3;3;3;2;3;3;2;3;3;3;2;3;2;2;2;2;3;2;2;3;2;3;2;2;2;2;3;2;2;3;3;2;2;2;3;3;2;2;3;2;3;3;3;3;3;3;2;3;2;;0.91934;75.81;2.5;0.5042;20.17%;50%;;60;30
ConstructionHD15_1;2;3;2;2;1;2;2;2;3;1;2;2;2;3;3;2;2;2;2;2;3;2;2;2;3;2;2;2;2;3;3;2;2;2;1;2;2;2;2;2;2;1;2;2;1;2;2;1;1;3;2;2;2;3;3;2;2;2;2;2;;0.88114;70.82;2.067;0.5482;26.53%;18%;;60;11
Construction HD 5 Mbit/H264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ConstructionHD5_0_1;5;5;4;4;4;5;4;4;4;5;5;3;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;4;5;5;4;4;4;5;4;4;4;5;5;3;5;5;5;5;5;4;5;5;;0.9948;96.13;4.667;0.542;11.61%;100%;;60;60
ConstructionHD5_0_2;4;3;4;5;5;5;5;4;5;4;4;4;4;4;3;4;3;4;3;3;4;4;4;4;5;5;4;4;5;4;4;4;4;4;5;5;4;4;5;4;4;4;4;5;4;5;5;4;5;4;4;4;4;4;3;4;3;4;4;4;;0.98578;95.17;4.133;0.5957;14.41%;100%;;60;60
ConstructionHD5_0_3;4;3;3;3;3;3;4;3;3;3;3;3;3;3;3;4;3;3;4;3;4;4;3;3;3;3;3;3;3;3;4;4;3;3;3;3;3;3;3;3;4;3;3;4;4;3;3;3;3;3;3;3;4;3;3;3;3;3;4;3;;0.97956;93.68;3.217;0.4155;12.92%;100%;;60;60
ConstructionHD5_0_5;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;4;3;3;3;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;;0.97044;89.52;3.133;0.3428;10.94%;100%;;60;60
ConstructionHD5_0_75;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;2;;0.96191;87.2;2.95;0.2198;7.45%;95%;;60;57
ConstructionHD5_1;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;2;3;2;2;3;2;3;3;3;2;3;3;2;2;3;3;3;3;3;3;2;3;3;3;3;3;3;3;2;2;3;3;3;3;3;;0.92211;79.94;2.783;0.4155;14.93%;78%;;60;47
Construction UHD 10 Mbit/H264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ConstructionUHD10_0_1    ;4;4;4;4;4;5;5;5;4;4;4;4;4;4;4;4;4;5;3;4;5;5;5;4;4;5;4;4;4;4;5;5;5;3;4;5;4;4;4;4;4;4;4;4;4;5;5;5;4;4;4;4;4;4;4;4;3;5;4;4;;0.99275;96.81;4.217;0.5237;12.42%;100%;;60;60
ConstructionUHD10_0_2   ;5;4;4;4;4;4;4;4;5;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;5;5;4;4;5;4;4;4;4;4;4;4;4;4;4;5;4;5;4;4;4;4;4;4;;0.99201;96.67;4.15;0.3601;8.68%;100%;;60;60
ConstructionUHD10_0_3;4;3;3;4;4;4;4;4;3;3;4;3;3;4;4;4;5;3;4;4;4;4;3;3;4;3;4;3;4;3;4;4;3;3;4;3;4;3;4;3;4;3;3;4;4;4;4;4;3;3;4;3;3;4;3;4;4;4;4;4;;0.96438;86.3;3.617;0.5237;14.48%;100%;;60;60
ConstructionUHD10_0_5;4;3;3;3;2;3;3;4;3;2;3;2;3;4;3;3;3;4;3;4;4;3;4;4;3;3;3;3;3;3;4;3;4;4;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;;0.94261;81.03;3.15;0.481;15.27%;95%;;60;57
ConstructionUHD10_0_75;3;2;3;3;3;3;4;2;4;3;3;3;2;3;2;4;3;3;4;3;3;3;3;3;3;3;3;2;2;2;3;3;4;3;3;3;3;2;2;2;3;2;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3;;0.92064;75.38;2.867;0.5357;18.69%;78%;;60;47
ConstructionUHD10_1;3;3;3;3;2;3;3;2;3;3;2;3;3;3;3;2;3;3;3;3;3;3;3;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;2;3;3;3;3;3;2;2;3;3;3;3;2;3;3;3;3;3;2;3;3;3;;0.88676;67.11;2.65;0.481;18.15%;65%;;60;39
Construction UHD 15 Mbit/H264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ConstructionUHD15_0_1;4;4;3;3;4;4;4;3;4;3;4;3;4;3;5;4;3;5;4;3;4;4;3;3;4;4;4;3;3;3;4;4;4;3;4;4;4;4;3;4;3;4;3;3;3;4;4;3;4;3;3;3;4;3;5;4;3;4;4;4;;0.9795;93.02;3.633;0.5813;16.00%;100%;;60;60
